Category,Item Name,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fibre (g),Sugars (g),Protein (g),Calcium (mg),Potassium (mg),Iron (mg),Allergens,Contains Barley,Contains Egg,Contains Milk,Contains Mustard,Contains Oats,Contains Soy,Contains Sulphites,Contains Tree Nuts,Contains Wheat
Breakfast (Select Locations Only),English Muffin with Egg & Cheese,139 g,320,17 g,5 g,0.1 g,195 mg,580 mg,26 g,1 g,2 g,14 g,225 mg,150 mg,2.5 mg,"Contains Egg, Milk, Soy, Wheat.",No,Yes,Yes,No,No,Yes,No,No,Yes
Breakfast (Select Locations Only),English Muffin with Bacon & Cheese,95 g,240,9 g,4 g,0.1 g,25 mg,660 mg,26 g,1 g,2 g,12 g,200 mg,150 mg,2 mg,"Contains Milk, Soy, Wheat.",No,No,Yes,No,No,Yes,No,No,Yes
Breakfast (Select Locations Only),English Muffin with Sausage & Cheese,123 g,340,18 g,7 g,0.1 g,40 mg,770 mg,27 g,1 g,2 g,14 g,200 mg,175 mg,2.25 mg,"Contains Milk, Soy, Wheat.",No,No,Yes,No,No,Yes,No,No,Yes
Breakfast (Select Locations Only),English Muffin with Chicken & Cheese,150 g,370,19 g,4 g,0.1 g,35 mg,800 mg,34 g,1 g,4 g,16 g,200 mg,200 mg,2.25 mg,"Contains Milk, Soy, Wheat.",No,No,Yes,No,No,Yes,No,No,Yes
Breakfast (Select Locations Only),"Breakfast Wrap with Egg, Cheese & Tater Tots",201 g,540,32 g,9 g,0.3 g,195 mg,1080 mg,45 g,2 g,3 g,16 g,200 mg,300 mg,3.5 mg,"Contains Egg, Milk, Soy, Wheat.",No,Yes,Yes,No,No,Yes,No,No,Yes
Breakfast (Select Locations Only),"Breakfast Wrap with Bacon, Egg, Cheese & Tater Tots",214 g,590,36 g,10 g,0.3 g,210 mg,1260 mg,45 g,2 g,3 g,20 g,200 mg,350 mg,3.5 mg,"Contains Egg, Milk, Soy, Wheat.",No,Yes,Yes,No,No,Yes,No,No,Yes
Breakfast (Select Locations Only),"Breakfast Wrap with Sausage Egg, Cheese & Tater Tots",242 g,680,45 g,13 g,0.3 g,225 mg,1370 mg,46 g,2 g,3 g,22 g,200 mg,350 mg,4 mg,"Contains Egg, Milk, Soy, Wheat.",No,Yes,Yes,No,No,Yes,No,No,Yes
Breakfast (Select Locations Only),"Breakfast Wrap with Chicken, Egg, Cheese & Tater Tots",269 g,720,46 g,10 g,0.4 g,220 mg,1400 mg,53 g,2 g,4 g,24 g,225 mg,400 mg,4 mg,"Contains Egg, Milk, Soy, Wheat.",No,Yes,Yes,No,No,Yes,No,No,Yes
Breakfast (Select Locations Only),Homestyle Breakfast with Bacon,330 g,740,48 g,9 g,0.3 g,395 mg,1310 mg,49 g,3 g,3 g,28 g,175 mg,650 mg,4 mg,"Contains Egg, Soy, Wheat.",No,Yes,No,No,No,Yes,No,No,Yes
Breakfast (Select Locations Only),Homestyle Breakfast with Sausage,345 g,780,54 g,12 g,0.3 g,400 mg,1250 mg,49 g,3 g,2 g,25 g,175 mg,650 mg,4 mg,"Contains Egg, Soy, Wheat.",No,Yes,No,No,No,Yes,No,No,Yes
Breakfast (Select Locations Only),Homestyle Breakfast with Chicken,372 g,820,55 g,8 g,0.3 g,395 mg,1270 mg,56 g,3 g,4 g,27 g,175 mg,650 mg,4.5 mg,"Contains Egg, Soy, Wheat.",No,Yes,No,No,No,Yes,No,No,Yes
Breakfast (Select Locations Only),Tater Tots,132 g,300,23 g,2.5 g,0.3 g,0 mg,590 mg,23 g,2 g,1 g,2 g,10 mg,350 mg,0.3 mg,,No,No,No,No,No,No,No,No,No
Breakfast (Select Locations Only),Fried Egg,57 g,130,11 g,2.5 g,0 g,185 mg,100 mg,0 g,0 g,0 g,6 g,30 mg,75 mg,1 mg,"Contains Egg, Soy.",No,Yes,No,No,No,Yes,No,No,No
Breakfast (Select Locations Only),Sausage Patty,41 g,150,13 g,4.5 g,0 g,30 mg,290 mg,1 g,0 g,0 g,6 g,0 mg,100 mg,0.4 mg,,No,No,No,No,No,No,No,No,No
Breakfast (Select Locations Only),English Muffin,65 g,130,1.5 g,0.3 g,0 g,0 mg,190 mg,24 g,1 g,1 g,5 g,100 mg,50 mg,1.75 mg,Contains Wheat.,No,No,No,No,No,No,No,No,Yes
Breakfast (Select Locations Only),Toast,45 g,130,1 g,0.3 g,0 g,0 mg,190 mg,25 g,1 g,2 g,4 g,50 mg,50 mg,2 mg,"Contains Soy, Wheat.",No,No,No,No,No,Yes,No,No,Yes
